Periodo,,Salario,PIB,Tasa de desempleo
ene-11,,2.6,3.7,5.3
feb-11,,2.7,3.7,5.3
mar-11,,2.8,3.7,5.3
abr-11,,2.8,3.7,5.3
may-11,,2.8,3.7,5.3
jun-11,,2.8,3.7,5.3
jul-11,,2.8,3.7,5.3
ago-11,,2.6,3.7,5.3
sep-11,,2.6,3.7,5.3
oct-11,,2.4,3.7,5.3
nov-11,,2.5,3.7,5.3
dic-11,,3.3,3.7,5.3
ene-12,,2.4,3.6,4.9
feb-12,,2.7,3.6,4.9
mar-12,,2.7,3.6,4.9
abr-12,,2.7,3.6,4.9
may-12,,2.6,3.6,4.9
jun-12,,2.4,3.6,4.9
jul-12,,2.5,3.6,4.9
ago-12,,2.6,3.6,4.9
sep-12,,2.6,3.6,4.9
oct-12,,2.6,3.6,4.9
nov-12,,2.7,3.6,4.9
dic-12,,3.7,3.6,4.9
ene-13,,2.8,1.4,4.9
feb-13,,2.8,1.4,4.9
mar-13,,3.0,1.4,4.9
abr-13,,2.9,1.4,4.9
may-13,,3.0,1.4,4.9
jun-13,,2.7,1.4,4.9
jul-13,,2.8,1.4,4.9
ago-13,,2.7,1.4,4.9
sep-13,,2.7,1.4,4.9
oct-13,,2.7,1.4,4.9
nov-13,,2.8,1.4,4.9
dic-13,,3.8,1.4,4.9
ene-14,,2.8,2.8,4.6
feb-14,,2.8,2.8,4.6
mar-14,,2.8,2.8,4.6
abr-14,,2.9,2.8,4.6
may-14,,3.0,2.8,4.6
jun-14,,2.9,2.8,4.6
jul-14,,2.9,2.8,4.6
ago-14,,2.8,2.8,4.6
sep-14,,2.8,2.8,4.6
oct-14,,2.8,2.8,4.6
nov-14,,2.8,2.8,4.6
dic-14,,3.5,2.8,4.6
ene-15,,2.6,3.3,4.2
feb-15,,2.6,3.3,4.2
mar-15,,2.6,3.3,4.2
abr-15,,2.6,3.3,4.2
may-15,,2.6,3.3,4.2
jun-15,,2.5,3.3,4.2
jul-15,,2.5,3.3,4.2
ago-15,,2.3,3.3,4.2
sep-15,,2.3,3.3,4.2
oct-15,,2.3,3.3,4.2
nov-15,,2.4,3.3,4.2
dic-15,,3.1,3.3,4.2
ene-16,,2.2,2.6,3.9
feb-16,,2.2,2.6,3.9
mar-16,,2.4,2.6,3.9
abr-16,,2.3,2.6,3.9
may-16,,2.3,2.6,3.9
jun-16,,2.2,2.6,3.9
jul-16,,2.2,2.6,3.9
ago-16,,2.2,2.6,3.9
sep-16,,2.2,2.6,3.9
oct-16,,2.1,2.6,3.9
nov-16,,2.1,2.6,3.9
dic-16,,2.7,2.6,3.9
ene-17,,2.0,2.1,3.4
feb-17,,2.2,2.1,3.4
mar-17,,2.3,2.1,3.4
abr-17,,2.4,2.1,3.4
may-17,,2.4,2.1,3.4
jun-17,,2.4,2.1,3.4
jul-17,,2.4,2.1,3.4
ago-17,,2.4,2.1,3.4
sep-17,,2.5,2.1,3.4
oct-17,,2.3,2.1,3.4
nov-17,,2.4,2.1,3.4
dic-17,,3.1,2.1,3.4
ene-18,,2.4,2.2,3.6
feb-18,,2.5,2.2,3.6
mar-18,,2.6,2.2,3.6
abr-18,,2.4,2.2,3.6
may-18,,2.4,2.2,3.6
jun-18,,2.4,2.2,3.6
jul-18,,2.4,2.2,3.6
ago-18,,2.5,2.2,3.6
sep-18,,2.5,2.2,3.6
oct-18,,2.3,2.2,3.6
nov-18,,2.4,2.2,3.6
dic-18,,3.4,2.2,3.6
ene-19,,2.6,-0.1,3.1
feb-19,,2.6,-0.1,3.1
mar-19,,2.6,-0.1,3.1
abr-19,,2.7,-0.1,3.1
may-19,,2.8,-0.1,3.1
jun-19,,2.6,-0.1,3.1
jul-19,,2.6,-0.1,3.1
ago-19,,2.6,-0.1,3.1
sep-19,,2.6,-0.1,3.1
oct-19,,2.6,-0.1,3.1
nov-19,,2.7,-0.1,3.1
dic-19,,3.6,-0.1,3.1
ene-20,,2.8,-8.2,4.5
feb-20,,2.4,-8.2,4.5
mar-20,,2.2,-8.2,4.5
abr-20,,3.1,-8.2,4.5
may-20,,3.0,-8.2,4.5
jun-20,,2.4,-8.2,4.5
jul-20,,2.4,-8.2,4.5
ago-20,,2.5,-8.2,4.5
sep-20,,2.5,-8.2,4.5
oct-20,,2.6,-8.2,4.5
nov-20,,2.8,-8.2,4.5
dic-20,,3.7,-8.2,4.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,